,metricType,symbol,metric.bookValuePerShareAnnual,metric.bookValuePerShareQuarterly,metric.cashFlowPerShareAnnual,metric.cashFlowPerShareTTM,metric.cashPerSharePerShareAnnual,metric.cashPerSharePerShareQuarterly,metric.dividendPerShare5Y,metric.dividendPerShareAnnual,metric.dividendsPerShareTTM,metric.ebitdPerShareTTM,metric.epsBasicExclExtraItemsAnnual,metric.epsBasicExclExtraItemsTTM,metric.epsExclExtraItemsAnnual,metric.epsExclExtraItemsTTM,metric.epsInclExtraItemsAnnual,metric.epsInclExtraItemsTTM,metric.epsNormalizedAnnual,metric.freeCashFlowPerShareTTM,metric.revenuePerShareAnnual,metric.revenuePerShareTTM,metric.tangibleBookValuePerShareAnnual,metric.tangibleBookValuePerShareQuarterly
1165,perShare,PETS.L,1.80595,1.80552,0.13325,0.24903,0.12107,0.08949,0.0708,0.075,0.075,0.35873,0.06098,0.09969,0.06036,0.09899,0.06036,0.09899,0.13998,0.15253,1.90253,2.00192,-0.1955,-0.19695
1167,perShare,OZL.AX,9.20078,9.20078,0.86201,0.86201,0.41374,0.41374,0.212,0.23,0.23,1.07442,0.50675,0.50655,0.50675,0.50655,0.50675,0.50655,0.50675,-1.01289,3.42267,3.42267,9.20078,9.20078
1168,perShare,OTS.OL,18.44004,18.83866,3.20904,4.31664,2.38277,1.47547,0,0,0,4.40486,-1.16812,-0.32391,-1.16812,-0.32391,-1.62746,-0.80086,-1.18732,1.04613,11.4064,9.31174,18.44004,18.83866
1170,perShare,ORK.OL,34.44147,34.44147,5.6364,6.29967,1.49254,1.66849,2.58,2.6,2.6,7.70659,3.83827,3.83687,3.83827,3.83687,3.83827,3.83687,4.5814,1.06394,43.61808,43.61268,11.72142,11.69442
1171,perShare,OKU.AX,0.14322,0.1336,-0.00284,-0.00284,0.01845,0.01864,,,0,-0.00329,-0.00284,-0.00279,-0.00284,-0.00279,-0.00284,-0.00279,-0.00284,-0.02778,9e-05,0.00011,0.14322,0.13354
1172,perShare,NSX.AX,0.01248,0.00833,-0.01743,-0.0232,0.01861,0.01681,,,0,-0.02267,-0.02072,-0.02762,-0.02072,-0.02762,-0.02072,-0.02762,-0.02072,-0.02507,0.01391,0.01326,0.01248,0.00833
1173,perShare,NOEJ.DE,19.70592,19.70592,3.39008,4.45808,5.79093,5.79093,0.8,0,0,6.07955,1.83357,1.83446,1.83357,1.83446,1.83357,1.83446,2.13147,2.4888,34.52646,34.52646,-0.96088,-0.96088
1175,perShare,NOA.TO,6.98746,6.98746,4.2452,4.24592,0.21507,0.21507,0.088,0.12,0.12,4.90473,1.44936,1.45082,1.23216,1.22851,1.23216,1.22851,1.23128,-0.06212,21.89393,21.89763,6.98746,6.98746
1176,perShare,NML.AX,0.03901,0.04374,-0.00216,-0.00224,0.01387,0.01813,,,0,-0.00224,-0.0022,-0.00228,-0.0022,-0.00228,-0.0022,-0.00228,-0.0022,-0.00923,0.00014,0.00021,0.03901,0.04374
1177,perShare,MYR.AX,0.73337,0.45774,0.15047,,0.0578,0.2199,,,0,0.11903,0.02981,0.01309,0.0296,0.01109,0.0296,0.01109,0.04467,0.15976,3.02197,2.90054,0.16378,-0.1077
1180,perShare,MQ.ST,93.31938,45.70042,-95.13926,-9.79654,3.04525,2.18073,7.58877,0,0,7.71178,-100.7425,-25.53955,-100.7425,-25.53955,-100.7425,-25.53955,-38.36899,-0.03452,302.31,188.629,-8.88401,-5.68885
1181,perShare,MOC.AX,0.69661,0.69851,0.1263,0.11049,0.01552,0.02425,0.147,0.06,0.06,0.15222,0.10979,0.09081,0.10944,0.09043,0.10944,0.09043,0.10944,0.036,1.41432,1.39537,0.615,0.61476
1182,perShare,MMR.AX,0.01848,0.0125,-0.00333,,0.0022,0.001,,,0,-0.00264,-0.00313,-0.00311,-0.00313,-0.00311,-0.00313,-0.00551,-0.00313,-0.00172,0.00025,0.0001,0.01843,0.0125
