,metricType,symbol,metric.currentEv/freeCashFlowAnnual,metric.currentEv/freeCashFlowTTM,metric.currentRatioAnnual,metric.currentRatioQuarterly,metric.freeCashFlowAnnual,metric.freeCashFlowTTM,metric.longTermDebt/equityAnnual,metric.longTermDebt/equityQuarterly,metric.netInterestCoverageAnnual,metric.netInterestCoverageTTM,metric.payoutRatioAnnual,metric.payoutRatioTTM,metric.quickRatioAnnual,metric.quickRatioQuarterly,metric.totalDebt/totalEquityAnnual,metric.totalDebt/totalEquityQuarterly
9928,financialStrength,IMA.MI,26.43567,15.61272,1.14767,1.14767,24.913,103.213,134.567,134.567,,,50.93769,50.93769,0.74288,0.74288,163.8199,163.6063
9930,financialStrength,IPEL.L,22.92184,17.45897,1.20578,1.20132,21.4,39.2,45.95397,59.31034,5.75385,3.29167,0,0,,,55.27097,72.45211
9932,financialStrength,IMS.MI,153.5539,153.5539,0.63982,0.63982,49.829,49.829,228.8733,228.8733,2.27831,2.29803,0,0,0.33583,0.33583,424.3002,424.3002
9933,financialStrength,IPC.AX,,,0.49424,0.57889,-0.35829,-0.40935,0,0,-59.25796,,,,,,0,0
9934,financialStrength,OPG.L,6.06983,5.00524,1.27309,1.19264,17.98201,32.74364,33.54723,26.1351,2.62684,2.74236,0,0,1.2079,1.13895,52.35478,42.0311
9935,financialStrength,IMM.L,,,5.93733,8.03973,-4.82401,-4.57011,0.29476,0,,-10.46721,,,,,1.5848,1.29983
9936,financialStrength,SSI.PA,,,1.34464,0.75287,-16.7,-12.866,108.0958,,-5.80761,-5.12696,,,1.04153,0.52982,187.5338,
9937,financialStrength,IMMOU.BR,,39.76899,0.19053,0.09675,0.511,1.178,0.59529,0.7304,8.42331,4.28939,106.7269,178.6555,,,17.7379,16.57754
9938,financialStrength,IMA.AX,4.35174,4.74156,1.24192,1.24192,49.961,49.961,23.05633,23.05633,3.70014,3.70014,,0,0.93432,0.93432,69.12374,69.12374
9939,financialStrength,IOSP,15.7417,14.07171,2.07677,2.07677,105.6,117.8,6.4344,6.4344,22.37313,22.37313,22.28164,22.28164,1.27084,1.27084,6.54328,6.54328
9940,financialStrength,IOF.L,,83.4513,2.94157,3.62898,0.8799,2.57633,423.8045,100.6533,,3.44069,,,1.80008,2.72628,423.8045,101.3662
9943,financialStrength,571.SI,,,2.44227,2.44227,-1.475,-1.475,1.24186,1.24186,-6.6619,-6.6619,,,2.34704,2.34704,20.25394,20.25394
9944,financialStrength,OMIP.L,,,1.68475,1.68475,-4.73791,-4.73791,20.18565,20.18565,4.6454,4.6454,0,0,,,20.18565,20.18565
9946,financialStrength,IPH.AX,104.8763,69.52032,3.86271,2.44824,10.274,17.575,22.9921,42.74936,,28.42327,96.70313,100.7574,,,22.9921,45.33364
