,metricType,symbol,metric.bookValueShareGrowth5Y,metric.capitalSpendingGrowth5Y,metric.dividendGrowthRate5Y,metric.ebitdaCagr5Y,metric.ebitdaInterimCagr5Y,metric.epsGrowth3Y,metric.epsGrowth5Y,metric.epsGrowthQuarterlyYoy,metric.epsGrowthTTMYoy,metric.focfCagr5Y,metric.netMarginGrowth5Y,metric.revenueGrowth3Y,metric.revenueGrowth5Y,metric.revenueGrowthQuarterlyYoy,metric.revenueGrowthTTMYoy,metric.revenueShareGrowth5Y,metric.tbvCagr5Y,metric.totalDebtCagr5Y
4237,growth,SPI.L,-0.31825,-1.87048,-30.06089,3.39454,3.52411,-49.02519,-1.29434,105.01,7569.565,22.09603,0.92875,1.92028,2.75935,7.39846,5.33777,-2.20829,-0.64135,18.51188
4238,growth,SOLG.L,24.9277,70.83905,,,,,,93.9295,74.28788,,,,,,,,53.72605,
4239,growth,SNT.L,-58.54206,-43.58529,,,,,,44.08602,100.4796,16.37613,,16.19615,-8.40523,-53.50877,155.5556,-46.73825,-18.2454,
4240,growth,SN.L,5.41738,1.70113,-8.56941,1.93373,-1.43045,-7.97718,4.18712,-25.39422,-9.64764,50.10628,1.47893,3.24208,2.1614,7.67045,4.77162,2.66889,24.16455,3.72387
4241,growth,SML.L,-1.74011,114.0747,,,,,,-144.9735,-143.5672,,,38.89798,-38.20805,-34.19811,-58.39924,-48.76753,65.6075,
4242,growth,SMJ.L,4.16854,-6.13827,1.28631,62.71941,57.57588,26.68381,47.97745,40.67383,29.68463,-15.99871,56.39223,-17.94803,-6.80665,514.1499,87.43425,-5.37977,2.53535,8.05017
4243,growth,SKI.AX,-4.9715,,1.13646,-4.20722,-4.32527,-0.90705,-12.21428,116.8912,181.6696,,-8.12827,3.76113,-1.15313,-0.12996,-5.37335,-4.44798,-2.35311,3.71093
4244,growth,,,,,,,,,,,,,,,,,,,
4245,growth,SHRE.L,-0.30362,47.98751,,59.94871,59.94871,,,-240.3974,-158.3333,,,15.62458,8.46736,5.55044,7.3435,9.42239,-4.3177,
4246,growth,SHI.L,-7.75424,-9.74374,-6.5833,-0.64835,3.38437,-21.38885,,-90.65457,113.4612,29.35284,,1.49459,1.10535,-7.39325,-4.40834,1.08251,-11.45341,0.25292
4247,growth,SGRO.L,13.47915,-8.45747,8.55298,10.18454,10.18454,15.45085,-2.1457,-15.4826,-24.74373,48.91162,-8.89667,15.11828,14.9924,-1.2884,17.20867,7.47782,21.61093,3.48639
4248,growth,SGH.AX,-63.67041,-17.09325,,-29.82066,-20.78524,,-57.14671,92.81452,277.7256,,4.76898,-43.89714,-17.45445,18.70434,14.53007,-59.12326,-22.58109,4.66114
4249,growth,SENS.ST,15.73579,,,-4.20883,-3.75222,,,104.2969,-774.1573,,,-2.36753,20.40269,26.98376,6.82952,10.58317,-0.27923,123.2445
4250,growth,SDL.L,2.09365,18.74259,31.1934,20.49575,20.15419,,,29.26829,-15.69531,,,10.38,3.97099,27.53319,25.19848,2.12518,,-23.34284
4251,growth,RTC.L,18.70773,5.0879,10.30042,14.86984,14.86984,16.46281,9.61963,-3.14046,-8.31016,1.25662,-1.71227,11.82532,13.2661,4.89493,8.13498,11.53128,28.94037,16.19929
4252,growth,RSW.L,10.60049,9.04533,7.72173,8.26738,-3.21306,20.86508,-0.11434,-85.78503,-62.89377,,-7.78408,10.34222,10.05474,-12.56952,-14.64088,8.45566,12.11442,
4253,growth,RPS.L,-2.45904,22.413,-23.15401,-4.87312,-4.70609,,,-182.949,-104.3672,,,1.36649,1.96281,-3.10045,-3.07529,1.64912,,12.24762
4254,growth,,,,,,,,,,,,,,,,,,,
4255,growth,ROR.L,7.35811,1.89612,-23.31343,0.91512,0.7875,11.82668,-1.88948,7.29978,2.61027,13.17477,-4.12272,4.29095,2.39166,-3.82917,-3.79021,2.3286,12.29464,-11.75999
4256,growth,RNWH.L,40.27108,10.93226,12.85892,14.68606,14.72709,7.93798,12.08073,11.84019,133.6678,-2.26264,10.76122,4.49818,5.25111,7.02947,10.97008,1.19159,,-0.28985
4257,growth,,,,,,,,,,,,,,,,,,,
4258,growth,RMM.L,,,,,,,,,,,,,,,,,,
4259,growth,RGP.L,,,,,,,,-24100,-5970.371,,,-27.43108,-9.71195,-100,-102.5974,-11.27426,,-28.41809
4260,growth,RAT.L,8.55284,1.72908,7.08806,8.43527,8.98127,-14.59768,-8.3641,15.71289,-44.67411,3.37969,-15.61302,12.22147,12.01319,11.07702,12.70025,8.58995,18.20569,16.47898
4261,growth,QTX.L,7.57983,18.79484,-9.87084,6.50441,6.50441,-3.96625,5.64582,-26.94273,-22.36179,-34.63984,-4.29597,3.1584,10.81668,2.15743,-0.33066,10.38783,,-27.52933
4262,growth,QQ.L,18.81014,26.72837,5.00815,1.64152,7.05937,6.18019,13.87742,23.65555,0.93796,,7.54686,6.43199,3.08732,15.75065,13.53392,5.88631,22.89786,-27.71747
4263,growth,,,,,,,,,,,,,,,,,,,
4264,growth,,,,,,,,,,,,,,,,,,,
4265,growth,PSN.L,7.38649,28.66121,-6.59868,17.03092,16.97152,10.57249,16.95202,-7.42386,-4.36799,,9.98324,5.17476,7.23238,-0.33652,-2.3598,6.33626,9.37526,
4266,growth,PRT.AX,-19.51793,3.51081,,-9.57278,-15.13987,,-25.10731,-57.14286,-75.94655,36.6825,-20.39769,-7.0376,-5.91711,-7.19583,-5.30118,-5.91711,,-33.12788
4267,growth,,,,,,,,,,,,,,,,,,,
4268,growth,PMG.L,-9.50197,-16.43719,,-5.09006,,,8.51391,-174.0242,-235.7477,,42.24577,-7.47971,-19.62776,-59.97345,-46.75149,-23.71308,-10.96619,
4269,growth,,,,,,,,,,,,,,,,,,,
4270,growth,PHNX.L,-1.84007,,3.74464,8.12239,4.36511,,-35.01644,-91.29577,-83.89517,,-41.56022,116.5899,40.21584,210.7554,515.797,17.16996,14.07373,4.5687
4271,growth,PGS.OL,-26.66228,-15.63499,,-2.3139,-2.17049,,,146.3833,19.27849,,,6.79005,-8.53176,23.2765,6.47449,-16.4824,,1.57981
4272,growth,PGR.AX,-5.282,-13.35536,,-27.12911,-14.60418,,,-182.1505,6.79516,,,0.44871,2.16024,-7.91278,-1.09718,2.16024,-7.58353,
4273,growth,PGH.L,6.47463,37.11676,3.24297,13.1886,13.27181,-11.82066,31.19094,10.32483,0.51337,-51.40172,15.49383,-1.50234,14.24649,42.48375,38.05863,13.59,-0.76101,
