,symbol,metric.netIncomeEmployeeAnnual,metric.revenueEmployeeAnnual,metric.receivablesTurnoverAnnual,metric.freeOperatingCashFlow/revenue5Y,metric.freeOperatingCashFlow/revenueTTM,metric.grossMargin5Y,metric.grossMarginAnnual,metric.netProfitMargin%Annual,metric.netProfitMargin5Y,metric.dividendGrowthRate5Y,metric.focfCagr5Y,metric.revenueGrowth5Y,metric.totalDebtCagr5Y,metric.netDebtAnnual,metric.peNormalizedAnnual,metric.pfcfShareAnnual,metric.currentEv/freeCashFlowAnnual,metric.freeCashFlowAnnual,metric.longTermDebt/equityAnnual,metric.netInterestCoverageAnnual,metric.payoutRatioAnnual,metric.quickRatioAnnual,metric.totalDebt/totalEquityAnnual,metric.dividendYield5Y,metric.dividendYieldIndicatedAnnual,metric.capitalSpendingGrowth5Y,metric.inventoryTurnoverAnnual
5333,HBP.TO,-568855.2922499999,221031.95938108378,8.2187,-4854.516241,-31266.3677715,-132.24634450000002,-4.4768105000000045,-2303.1811755,-1049.5079540000002,3.901332000000001,-1.2423819999999999,7.731390999999998,7.2294039999999935,-0.1466493285310706,13.441107499999998,629.4069375000001,184.7861915,-3.9403108418421158,16.5452295,-220.3529,53.718008999999995,2.004288,17.083586,9.863242000000003,20.704648999999996,5.92238,9.8408975
5334,BKX.TO,-43144.637364999995,385421.2741374643,6.74453,-24.83158,25.74235,79.44293,78.38723,-1.0166,-2.26924,1.980305,20.653962499999995,-5.63132,12.10476,24.444891146050843,39.7918605,1.65493,8.37239,4.531101187738476,20.3626,0.96379,42.3477145,1.0468865000000003,21.63605,3.3693755000000003,5.394996000000001,-50.33776,22.596267
5335,TXP.TO,5883.587,314963.9596827739,2.98092,-45.68355,-24.17038,48.67635,60.87546999999999,1.32982,-74.70922,6.833914999999999,8.921265,0.3127,21.36506,8.207941561185692,74.5965985,19.783629,40.215669,-6.1132409945048725,46.72422,4.36077,20.804048,0.92069,47.48796,2.0216875,7.4010595,-18.35264,76.9606
5336,INV.TO,-313640.21155,379544.6040786074,11.8222975,-656.8070534999999,-3663.2944215,7.020393500000003,-220.22598049999993,-9121.205588,-368.7034825,4.7786825,0.7007104999999995,27.7917525,-1.0311999999999977,-9.00145680652765,28.215636500000006,211.5433595,231.93665049999998,-6.130981291917467,0.43947,-289.38528400000007,59.6992,3.4196000000000004,0.7281,9.4306295,18.6753355,13.84385,146.26271049999997
5337,ELR.TO,-1122422.857,463049.56260854396,0.36981,-15791.55,-46.24819,-1363.759657,-3.1401,-6344.444,-59567.88,0.7720405000000004,5.984958999999999,15.115540999999999,4.5031285,-1.9147490265541975,33.617568,198.6596645,-35.74849000000001,-9.535324432475734,0.03255,-747.5989075,0.0,1.51865,0.04557,2.3130344999999997,6.296017499999999,28.67073,0.36954
5338,TBL.TO,44740.93,1597291.672341423,14.95168,0.6133460000000002,3.10856,22.801363000000002,9.96488,1.99404,-6.267704,9.560045500000001,12.69306,9.3564775,15.608483999999999,120.28804389269418,3.75624,2.3685400000000003,7.57857,28.748963511644444,82.37164,4.23142,32.046571,0.67094,120.9659,4.005787,7.524741499999999,6.8724765,7.62633
5339,BUI.TO,-31606.64,174820.45097490598,3.89509,-2.62481,-10.96226,6.92917,4.51425,-12.8706,-6.41257,2.9936075,-3.9477784999999996,-6.7827199999999985,-8.22547,27.146499246967554,16.961164000000004,18.820577999999998,258.19802100000004,-22.243001310452918,0.3849,-1.61581,52.81501750000001,0.43336,35.71174,3.594832000000001,8.7679045,-27.2861,1.29744
5340,GSY.TO,33814.5,227963.03531881093,35.91789,-24.0301,-31.07766,51.66390200000001,52.632181,10.5597,9.60693,35.35795,7.7345985000000015,18.65002,49.61865,616.0396584417001,7.19888,27.491448000000002,13.6209,-134.81914143626804,239.6657,2.93257,27.74557,0.8810330000000001,274.2603,2.02346,5.99002,-22.77983,12.260969499999998
5341,E.TO,-155732.05643499998,358569.2260259795,3.26458,4.42604,-9.58375,22.89912,25.84275,-25.79532,-36.56186,-1.7911995,-0.23504750000000046,-24.51003,-24.76386,8.758972853691468,29.576902999999998,31.961862499999995,23.811848,-1.3318891346376243,7.82287,-3.78252,23.390954999999998,0.57008,32.96444,3.722229,9.7526495,-26.76985,68.08301
5342,CAS.TO,8083.333,296383.48975788726,8.59897,2.1761,3.58287,14.889129999999998,15.292229999999998,1.94155,3.36723,14.47141,14.23864,7.006480000000002,4.6555300000000015,1390.3210612678683,11.76151,6.61297,21.8008,127.4283000342798,135.7958,4.1466699999999985,33.33333,0.76894,142.2431,1.46985,2.54777,7.706010000000001,7.0299
5343,GMP.TO,-106692.6,204093.57905255732,0.0881,13.63918,-31.96526,44.1969615,44.24609799999999,-37.21498,-15.94467,15.4664805,0.1847035000000005,-32.58781,-2.4627980000000007,-354.09049885782457,39.889071,26.802229999999998,31.613943999999996,-8.383215984378095,9.46761,0.39648,42.9418205,3.155939,9.46761,2.4428530000000004,8.13008,-8.792860000000001,31.431746000000004
5344,CFX.TO,-23735.41,602696.5628372168,11.56725,0.27456,-5.51521,32.14412,21.43579,-2.80357,7.08138,0.0,-0.3210960000000004,2.1006,5.99643,43.35409760942815,28.012310000000003,32.560844,78.90168200000001,-42.71339665953513,9.29608,-8.15789,57.3883015,0.8753200000000001,11.9828,4.09753,5.45852,12.28772,4.26497
5345,TVK.TO,22431.63,216849.29426397762,5.95424,1.6884400000000002,6.29146,22.92683,23.09671,7.36403,6.3036900000000005,0.0,7.267055000000002,18.39985,15.76213,78.77916501895794,10.64807,35.3766,35.09049,4.568909662681606,106.9063,6.4062800000000015,30.80685,1.19331,119.5029,4.51128,3.22581,22.17313,3.00046
5346,CFF.TO,-352866.3293499999,508238.3732198324,6.03229,-0.75745,25.68501,22.12289,4.7692,-19.33923,1.81644,1.7846274999999998,8.742568,-14.909579999999998,15.37952,182.44998907522657,25.9223215,0.4642600000000001,76.610356,28.78114093712796,50.75855,-2.62356,36.5201255,1.06348,206.4061,2.9153810000000004,6.2375215,-49.15633,3.62501
5347,CGG.TO,-2834.803,274808.8107271672,53.88836,-37.83975,3.01327,22.97868,19.40323,-0.73435,4.27433,-2.5992904999999995,9.106099999999998,13.52348,19.69111,1113.366685437498,42.549087,8.19192,97.24985,21.8103430778896,75.64786,1.04803,58.04889899999999,0.42752,84.05251,3.590255,6.0178305,-22.34485,1.81241
5348,CGO.TO,73280.33,346283.8425393558,22.51627,20.0866,48.33392,50.524840000000005,53.370405000000005,15.06496,9.47168,13.38321,28.52945,3.11993,4.20028,2066.3531090977744,17.41554,1.04455,15.519420000000002,823.697243311529,455.6896,3.64012,40.99388,0.9840955000000002,458.687,1.98641,2.27273,0.88275,12.8822665
5349,CGT.TO,-1092351.17445,255430.93857485597,5.1284255000000005,-4229.921467499999,-11538.101411499996,-212.740789,-45.751502,-8528.8382105,-3808.6545255000005,3.133366,9.75819,-1.796694000000001,22.8345925,-0.8642343924112608,12.161941500000001,564.6253025,177.63915350000002,-1.9384763183985696,0.0,-1.1192799999999998,69.42899550000001,3.0203035000000003,0.0,11.304855,21.0414565,-44.31415,55.2584125
5350,CKI.TO,96276.46,213699.96433927567,66.44157,-26.32372,5.1649,56.17612,54.17714,32.07218,34.24244,6.731015500000001,28.160357499999996,44.89755,113.947,14.649983164276223,1.82477,13.86684,2.33687,4.43151490342677,37.77561,5.26711,0.0,2.52841,54.00601999999999,2.0304445,3.732895,103.6013,13.765027000000003
5351,CVG.TO,3668985.0,4473013.103951341,8.46086,32.82982,-26.96258,42.26679800000001,44.421157,58.39271,55.94689,0.0,12.691123999999999,21.75267,6.3458065,-205.68066649443682,5.57798,3.43089,3.5209,138.48395086965616,0.0,212.8059,5.59451,2.91131,0.0,0.28272,0.22779,119.718,56.471841500000004
5352,PNE.TO,-656162.8,823068.6444906895,7.329160000000001,-31.97444,-1.6534099999999998,34.13956,27.61513,-56.75292,-54.84087,11.1375875,7.121480500000001,6.9424199999999985,6.14689,39.645150999491854,23.074551500000005,14.769669500000001,26.3505005,-1.1703470684712625,602.3597,-8.238710000000001,62.5735625,0.6419094999999999,612.2836,1.6853665,14.021978999999996,-34.8438,27.655906999999996
5353,CLR.TO,-1064758.1603750002,1229086.8321830956,7.79508,0.4441600000000001,4.72558,20.90847,19.83841,8.57501,3.94774,0.0,11.626631999999997,6.7404199999999985,10.02624,285.6550947299174,7.4757,13.34597,12.78233,16.75788928942428,251.0505,9.43674,31.17864,1.61758,257.7906,2.2845,4.16667,-19.44152,6.92339
