,metricType,symbol,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
2638,management,BN.PA,0.56483,0.56483,6.91994,6.91994,19920.09,20244.22,9.03914,9.03914,242873.3,246825.3,4.63262,4.57939,13.66374,11.4039,11.4039,4.63262,6.07195,6.09525,6.09525
2639,management,BLU.TO,0.00039,0.00039,,,,,0.19943,0.19943,,,-38.61996,-26.64159,-30.3702,-41.5611,-41.5611,-38.61996,-29.90846,-41.55434,-41.55434
2642,management,BKYI,0.29128,0.28994,4.28045,2.7854,,-429261.3,1.81778,4.8329,,229860.7,-49.46774,-30.25413,-41.59229,-68.10051,-70.15727,-54.14554,-35.32678,-56.72185,-66.59713
2643,management,BKIA.MC,,,,,33936.54,,,,228292.8,,0.26217,0.3467,5.50859,4.0865,4.0865,0.26217,,,
2644,management,BJBR.JK,,,,,203670100,,,,895572900,,1.2838,1.30494,14.22358,13.41963,13.41963,1.2838,,,
2648,management,BAB.L,0.71602,0.65591,20.79016,20.06649,5650.772,7727.621,5.69639,4.55298,126556.9,125104.1,3.19703,4.97579,11.60249,9.50591,6.92313,4.05152,6.62194,4.23332,5.26768
2658,management,0180.HK,0.15839,0.15839,0.42192,0.42192,,,3.95775,3.95775,,,-0.50073,5.92546,7.44278,-0.62371,-0.62371,-0.50073,7.35271,-0.59523,-0.59523
2662,management,VPT.V,0.04422,0.06028,0.5125,0.67108,,,0.58498,0.54439,,,-153.118,-203.5399,,,,-449.2806,,,
2664,management,UBI.MI,,,,,14134.98,,,,212237.1,,0.22638,0.12416,1.24639,2.20933,2.20933,0.22638,,,
2665,management,TV.TO,0.49176,0.49176,6.60453,6.60453,,,8.71944,8.71944,,,-4.51006,-7.3957,-11.84217,-7.04972,-7.04972,-4.51006,-8.57047,-5.40178,-5.40178
2666,management,TSL.TO,1.26211,1.26211,2.67296,2.67296,,,8.28496,8.28496,,,-3.26856,3.65672,8.76627,-9.67571,-9.67571,-3.26856,5.38645,-3.92244,-3.92244
2668,management,TPH.TO,0.35615,0.34414,98.89596,103.9188,,,28.29264,19.84735,,,-6.85719,-8.2197,-73.97823,-357.3904,,-11.24213,-14.26407,-17.9995,-31.00141
2670,management,TML.TO,2e-05,2e-05,,,,,0.00446,0.00622,,,-5.64633,-4.59579,-5.31059,-7.12991,-6.41849,-6.36492,-4.92246,-5.89369,-6.76855
2671,management,TMD.TO,0,0,,,,-7471406,,,,0,-87.76651,-137.5719,-316.0128,,-327.5379,-257.5928,-316.0128,-327.5379,
2674,management,TEI.TO,0.20847,0.21067,,,,,6.20104,6.90997,,,-21.93136,-11.99268,-34.81054,45.21678,-264.3144,3.95521,-18.66609,-45.53652,7.06224
2680,management,SPN.V,0.93439,0.8623,,,,,3.9236,3.67518,,,-23.80838,-40.44535,-66.2367,-29.05972,-34.34819,-20.43327,-61.42511,-34.34819,-29.05972
2685,management,SLCT,,,,,62368.42,,,,250282.3,,1.02897,0.89353,6.55997,6.17208,6.17208,1.02897,,,
2689,management,SAH.V,0.01127,0.0121,,,,,3.32766,7.46346,,,-4.76372,-6.77796,-7.44727,-4.08661,-5.09742,-3.82452,-7.0954,-4.92564,-3.94564
2690,management,RX.V,0.6894,0.6894,2.63798,2.63798,,,11.11779,11.1178,,,14.05964,21.04948,24.41138,16.36437,16.36437,14.05964,23.9541,15.72228,15.72228
2691,management,RSI.TO,0.93159,0.93396,3.71439,3.94413,-16334,-7017.5,10.39867,9.38491,1588584,996982.5,-0.95787,4.2906,10.43669,-1.7427,-2.57197,-0.65739,5.11105,-1.14857,-0.77776
2692,management,RNW.TO,0.11975,0.11975,12.76923,12.76923,,,4.35122,4.35122,,,4.91341,3.66171,6.06764,7.74389,7.74389,4.91341,4.04036,5.19002,5.19002
2697,management,PSK.TO,0.09696,0.09696,,,1888136,1826230,10.32308,10.32308,4549153,4400000,4.02428,2.9397,3.21601,4.40377,4.40377,4.02428,2.9833,4.0773,4.0773
2701,management,PIF.TO,0.15334,0.15334,,,138910.3,142166,4.66797,4.66797,770653,788715.3,2.76403,-0.48276,-0.87379,7.01856,7.01855,2.76403,-0.53541,2.99879,2.99879
2703,management,PEX.V,0,0,,,,,,,,,26.19519,-6.1963,-6.6242,40.33708,28.83862,34.17229,-6.6242,28.83862,40.33708
2707,management,NXJ.TO,0.97463,0.97354,,,,,4.53029,5.42853,,,-16.90416,-7.72459,-12.07729,-70.36426,-25.68317,-36.38948,-11.57022,-25.60458,-62.54775
2709,management,NWIN,,,,,53884.19,,,,239768.4,,0.99774,0.98698,10.33181,10.27054,10.27054,0.99774,,,
