,metricType,symbol,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
4151,management,CWK.L,2.09918,1.89216,15.23264,17.34409,10445.75,10518.03,9.77287,8.50472,215683.6,212922.2,10.16652,10.23823,14.46406,13.81709,13.71699,9.34698,13.60924,13.23949,12.0334
4152,management,CMG.TO,0.7951,0.90337,,,113512.8,115443.3,4.21825,8.18081,383882.1,404170.1,23.51098,24.64408,42.83258,50.75006,43.05624,25.80303,41.94321,41.22588,34.121
4153,management,CLDN.L,0.11477,0.06968,,,3222764,1880645,20.22523,12.11715,3650407,2335484,10.13215,8.53742,8.74645,5.72087,10.32668,5.6113,8.69783,10.28889,5.70004
4154,management,WEB.L,3.97753,10.0014,,,,,27.07476,56.61791,,,-7.82729,-4.95575,-29.51141,-45.19868,-58.19775,-10.93531,-26.43607,-40.91509,-26.41509
4155,management,,,,,,,,,,,,,,,,,,,,
4156,management,UANC.L,0.18332,0.18332,,,149455.6,145160.9,6.05784,6.05784,1208450,1173724,2.26723,2.79148,3.57905,3.18892,3.18892,2.26723,3.10779,2.50165,2.50165
4157,management,TVA-B.TO,1.01856,1.01856,,,12214.93,12364.12,4.51219,3.65015,429796.4,435045.8,2.89477,-2.80918,-6.18019,5.87827,5.87827,2.89477,-4.79029,5.27844,5.27844
4158,management,TSCO.L,1.25584,1.11965,24.46015,21.53827,2890.006,2811.595,55.59896,41.14671,139926.6,137966.2,2.59378,-1.30645,-6.39521,9.71191,11.03598,2.28172,-2.24971,4.28418,3.64906
4159,management,TPK.L,1.0162,0.95886,,,-2813.838,2513.333,6.68779,4.70575,174411.1,179783.3,-1.63947,2.4193,4.31232,2.83974,-3.10379,1.34047,3.49339,-2.40967,1.86378
4160,management,TCM.L,1.23773,1.23773,12.4915,12.4915,,,3.80716,3.80716,,,14.94601,-0.78213,-2.0852,42.92798,42.92798,14.94601,-1.59104,33.18689,33.18689
4161,management,SXS.L,0.80256,0.80256,3.47099,3.47099,25092.45,27035.46,5.35345,4.55103,174929,188474.4,11.51217,8.7686,13.76417,18.32916,18.32916,11.51217,10.89475,14.62165,14.62165
4162,management,SSPG.L,1.67056,1.67056,21.86179,21.86179,3995.055,3881.261,14.57799,14.57799,72733.42,70661.71,9.17596,7.9067,27.56298,36.02555,36.02555,9.17596,12.90467,16.33413,16.33413
4163,management,SMP.L,0.26867,0.26867,0.84583,0.84583,81280.79,78821.66,7.7951,4.81142,705911.3,684554.1,3.09356,5.49618,9.15099,4.78279,4.78279,3.09356,6.25803,3.58293,3.58293
4164,management,,,,,,,,,,,,,,,,,,,,
4165,management,SAGA.L,0.33998,0.30672,82.79592,80.44231,-31240.96,-40479.97,6.00857,3.44418,162279.4,160015.9,-6.54506,2.6848,6.79537,-18.09397,-14.79587,-7.75928,2.93415,-7.60778,-8.41043
4166,management,ROL.L,0.86109,0.78938,16.50702,14.79862,1998.594,1674.544,19.01523,3.43854,43872.05,41819.71,3.9227,3.06359,6.62471,7.24088,8.45552,3.16083,4.52155,6.0288,4.7851
4167,management,REL.L,0.56672,0.56672,12.84382,12.84382,46401.23,45451.81,4.48405,3.85791,241163.9,237168.7,10.90399,10.03002,57.14797,66.96329,67.23026,10.8608,16.30371,18.40155,18.32868
4168,management,RE.L,0.16593,0.18372,5.13739,6.27532,-1430.631,-3547.368,11.79261,2.83263,8287.65,9613.811,-2.86432,-1.43213,-7.50194,-16.97732,-16.13893,-6.77896,-1.69527,-3.4226,-8.30403
4169,management,PZC.L,0.63926,0.65295,2.94064,2.88294,5798.92,8780.746,4.53894,4.00195,157298.9,163210.8,2.35666,4.82529,10.80469,8.27537,5.45264,3.51286,9.24439,3.77174,4.72127
4170,management,,,,,,,,,,,,,,,,,,,,
4171,management,PRV.L,0.95727,0.95727,4.52953,4.52953,11701.09,10819.1,6.79491,6.23511,157534.8,145660.3,7.11026,7.0406,11.82586,11.65343,11.65343,7.11026,9.30456,9.28586,9.28586
4172,management,,,,,,,,,,,,,,,,,,,,
4173,management,PDG.L,2.03361,2.03361,4.07851,4.07851,,,53.45288,36.84078,,,-7.41478,-0.31295,-1.67847,-57.88144,-57.88144,-7.41478,-0.81138,-20.54927,-20.54927
4174,management,PAY.L,0.85644,0.89793,562.2978,581.2064,67680.13,64339.26,1.46172,1.57244,322278.8,309891.8,17.98568,14.54512,44.3643,99.77829,79.73942,18.6427,44.23816,79.24946,98.22899
4175,management,PAG.L,0.03702,0.03702,,,93162.7,93128.66,157.2353,9.56351,390932.3,390789.5,0.88217,0.92656,12.14936,11.6779,11.6779,0.88217,1.17415,1.49803,1.49803
4176,management,OXIG.L,0.9156,0.94044,3.12277,2.73021,17820.55,21532.62,5.10092,5.15182,207140.6,223495.9,7.87704,1.11203,3.13913,17.15872,15.03405,9.06063,1.57638,11.6643,13.91162
