,Ticker,Name,Exchange,Category Name,Country
85629,LOV.AX,Lovisa Holdings Limited,ASX,Jewelry Stores,Australia
85638,SWA.DE,Schloss Wachenheim AG,GER,Beverages - Wineries & Distillers,Germany
85655,LPE.AX,Locality Planning Energy Holdings Limited,ASX,Electric Utilities,Australia
85661,5IE.SI,Lorenzo International Limited,SES,Home Furnishings & Fixtures,Singapore
85665,LSR.AX,Lodestar Minerals Limited,ASX,Copper,Australia
85672,K2LU.SI,Cache Logistics Trust,SES,REIT - Industrial,Singapore
85725,SLL.DE,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft,GER,Oil & Gas Equipment & Services,Germany
85742,LSRG.L,PJSC LSR Group,LSE,Real Estate Development,United Kingdom
85772,5LY.SI,Marco Polo Marine Ltd,SES,Shipping,Singapore
85796,TIH.TO,Toromont Industries Ltd.,TOR,Industrial Equipment Wholesale,Canada
85824,0973.HK,L'OCCITANE,HKG,Personal Products,Hong Kong
85830,SESG.PA,SES S.A.,PAR,Broadcasting - TV,France
85876,SCE.DE,Schweizer Electronic AG,GER,Electronic Equipment,Germany
85884,BREB.BR,Brederode SA,BRU,Asset Management,Belgium
85917,RTL.BR,RTL Group SA,BRU,Broadcasting - TV,Belgium
85923,RM2.L,RM2 International S.A.,LSE,Packaging & Containers,United Kingdom
85974,L19.SI,Lum Chang Holdings Limited,SES,Property Management,Singapore
86052,LWP.AX,LWP Technologies Limited,ASX,Oil & Gas Equipment & Services,Australia
86054,REDD.L,Redde plc,LSE,Rental & Leasing Services,United Kingdom
86112,MPC.TO,Madison Pacific Properties Inc.,TOR,Diversified Electronics,Canada
86172,D5IU.SI,Lippo Malls Indonesia Retail Trust,SES,REIT - Retail,Singapore
86174,MZN.AX,Marindi Metals Limited,ASX,Industrial Metals & Minerals,Australia
86189,YSN.DE,secunet Security Networks Aktiengesellschaft,GER,Technical & System Software,Germany
86353,MMC.L,Management Consulting Group PLC,LSE,Business Services,United Kingdom
86415,M15.SI,Matex International Limited,SES,Specialty Chemicals,Singapore
86416,5QR.SI,MSM International Limited,SES,Home Furnishings & Fixtures,Singapore
86486,MGT.AX,Magnetite Mines Limited,ASX,Industrial Metals & Minerals,Australia
86536,MYE.AX,Mastermyne Group Limited,ASX,Industrial Metals & Minerals,Australia
86558,MHID.L,Mahindra & Mahindra Limited,LSE,Auto Manufacturers - Major,United Kingdom
86711,F3C.DE,SFC Energy AG,GER,Diversified Machinery,Germany
86727,MCT.AX,Metalicity Limited,ASX,Industrial Metals & Minerals,Australia
86747,SGL.DE,SGL Carbon SE,GER,Chemicals - Major Diversified,Germany
86756,MMS.AX,McMillan Shakespeare Limited,ASX,Staffing & Outsourcing Services,Australia
86770,MSG.AX,MCS Services Limited,ASX,Security & Protection Services,Australia
86789,MDC.L,Mediclinic International plc,LSE,Resorts & Casinos,United Kingdom
86823,MDMG.L,MD Medical Group Investments Plc,LSE,Hospitals,United Kingdom
86830,MDR.AX,MedAdvisor Limited,ASX,Healthcare Information Services,Australia
86846,SVM.TO,Silvercorp Metals Inc.,TOR,Silver,Canada
86882,MELG.OL,Melhus Sparebank,OSL,Money Center Banks,Norway
86964,SVE.DE,Shareholder Value Beteiligungen AG,GER,Business Services,Germany
86992,MNE.AX,Metallum Limited,ASX,Industrial Metals & Minerals,Australia
87017,MLA.AX,Medical Australia Limited,ASX,Medical Instruments & Supplies,Australia
87018,MRQ.AX,MRG Metals Limited,ASX,Industrial Metals & Minerals,Australia
87052,5DS.SI,Megachem Limited,SES,Specialty Chemicals,Singapore
87083,ENT.AX,Enterprise Metals Limited,ASX,Industrial Metals & Minerals,Australia
87089,5NF.SI,Mencast Holdings Ltd.,SES,Oil & Gas Equipment & Services,Singapore
87200,OSP.AX,"Osprey Medical, Inc.",ASX,Medical Appliances & Equipment,Australia
87268,MGL.AX,Magontec Limited,ASX,Industrial Metals & Minerals,Australia
87274,MGZ.AX,Medigard Limited,ASX,Medical Instruments & Supplies,Australia
87276,MGV.AX,Musgrave Minerals Limited,ASX,Industrial Metals & Minerals,Australia
87290,MGC.AX,MG Unit Trust,ASX,Food - Major Diversified,Australia
87294,SHWK.DE,SHS VIVEON AG,GER,Information Technology Services,Germany
87310,MHPC.L,MHP SE,LSE,Farm Products,United Kingdom
87329,SW1.DE,SHW AG,GER,Auto Parts,Germany
87330,MHC.AX,Manhattan Corporation Limited,ASX,Industrial Metals & Minerals,Australia
87380,TIL.OL,Tanker Investments Ltd.,OSL,Oil & Gas Equipment & Services,Norway
87382,COP.TO,Coro Mining Corp.,TOR,Industrial Metals & Minerals,Canada
87440,A2M.AX,The a2 Milk Company Limited,ASX,Farm Products,Australia
87444,5EN.SI,Midas Holdings Limited,SES,Aluminum,Singapore
87476,5DD.SI,Micro-Mechanics (Holdings) Ltd.,SES,Semiconductor Equipment & Materials,Singapore
87506,VAR.AX,Variscan Mines Limited,ASX,Industrial Metals & Minerals,Australia
